"stock1","stock2","dead1","dead2"
111,76,50,50
0,0,27,20
86,207,50,50
0,0,27,25
0,0,2,4
249,109,50,50
0,0,21,19
0,0,45,43
0,0,7,8
0,0,4,3
181,64,50,50
0,0,31,22
155,64,50,50
0,0,40,40
0,0,37,33
0,0,10,12
0,0,6,8
0,0,3,2
0,0,7,9
0,0,5,5
0,0,10,11
212,122,50,50
71,82,50,50
0,0,2,3
0,0,21,20
0,0,42,43
0,0,4,2
0,0,12,8
87,130,50,50
0,0,23,23
0,0,33,32
0,0,3,5
156,98,50,50
147,78,50,43
376,97,50,50
0,0,28,30
0,0,15,15
0,0,7,7
0,0,21,17
376,102,50,50
0,0,17,15
0,0,49,49
0,0,7,8
0,0,14,11
1,72,45,50
0,0,9,12
135,170,50,50
214,141,50,50
0,0,19,21
0,76,46,50
0,0,11,11
0,0,48,47
380,112,50,50
416,65,50,50
0,0,39,40
0,0,16,13
0,0,3,9
0,0,11,10
0,0,28,29
0,0,10,8
0,0,10,11
0,0,42,40
0,0,12,9
80,72,50,50
78,118,50,50
0,0,17,12
0,0,11,17
0,0,42,41
64,69,50,50
0,0,2,6
0,0,16,13
215,64,50,50
166,94,50,50
136,83,50,50
0,0,3,6
66,0,50,49
0,0,19,16
108,54,50,50
0,0,9,8
0,0,37,36
38,45,50,50
100,141,50,50
0,0,9,8
0,0,11,9
0,0,12,15
0,0,2,4
0,0,9,5
0,0,3,3
0,0,19,13
0,0,15,18
64,484,50,50
0,0,19,20
0,0,9,10
0,0,11,11
0,0,29,27
0,0,43,44
0,0,9,9
68,78,50,50
0,0,14,14
0,0,14,13
72,88,50,18
0,0,40,37
0,0,17,17
0,0,24,22
73,116,50,50
183,152,50,50
0,0,10,12
0,0,20,14
0,0,13,14
366,113,50,50
64,0,50,50
0,0,4,6
0,0,17,20
0,0,4,5
0,0,7,6
0,0,13,9
0,0,11,13
71,0,50,45
0,0,31,29
262,115,50,50
0,0,19,19
0,0,30,28
0,0,12,14
0,0,18,9
100,85,50,50
0,0,4,3
0,0,24,19
0,0,10,10
0,0,12,13
0,0,19,21
108,101,50,50
178,104,50,50
0,0,19,20
0,0,15,17
0,0,8,7
0,0,33,34
68,291,50,50
0,0,18,15
0,0,46,45
0,0,12,10
156,128,50,50
0,0,23,21
181,135,50,50
0,0,18,18
270,165,50,50
0,0,14,15
0,0,5,5
0,0,11,12
197,97,50,50
0,0,20,21
0,0,10,7
0,0,11,10
0,0,12,14
0,0,45,45
0,0,7,5
0,0,14,10
0,0,13,11
0,0,21,21
0,0,4,2
0,0,18,21
0,0,4,3
0,0,37,37
112,101,50,50
0,0,9,14
0,0,39,38
259,97,50,50
107,92,50,50
0,0,12,12
236,77,50,50
0,0,14,16
276,65,50,50
261,145,50,50
0,0,19,20
0,0,6,4
211,172,50,50
0,0,48,45
276,125,50,50
0,0,21,19
0,0,25,25
0,0,16,12
67,0,50,48
64,5,50,47
129,86,50,50
161,298,50,50
0,0,6,5
174,81,50,27
0,0,5,6
91,113,50,50
85,65,50,50
0,0,4,8
0,0,2,4
0,0,36,31
70,67,50,41
0,0,5,5
0,0,21,19
0,0,18,18
0,0,4,3
0,0,8,6
0,0,24,21
0,0,10,6
0,0,15,18
0,0,17,19
0,0,12,12
0,0,12,9
0,0,10,8
0,0,2,3
0,0,2,2
0,0,6,7
122,69,50,50
0,0,35,37
223,104,50,50
68,305,50,50
0,0,13,8
0,0,33,36
0,66,48,30
0,0,32,30
0,0,39,39
198,87,50,50
0,0,49,50
0,0,44,38
204,93,50,50
85,122,50,50
0,0,15,13
0,0,36,36
0,0,23,24
0,0,17,17
0,0,39,39
0,0,28,27
0,0,4,5
64,90,50,50
0,0,9,8
0,0,44,46
0,0,22,24
151,232,50,50
64,0,50,50
0,0,11,11
0,0,5,4
0,0,37,36
0,0,46,45
0,0,10,8
0,0,3,5
202,109,50,15
265,226,50,50
0,0,9,10
0,0,23,19
106,72,50,50
0,0,37,36
64,0,50,50
0,0,12,11
64,0,50,50
0,0,40,39
0,0,11,13
126,69,50,50
0,0,8,8
143,89,50,50
0,0,37,35
0,0,23,22
0,0,19,21
0,0,7,4
92,64,50,35
0,0,25,24
0,0,4,4
0,0,9,12
0,0,3,5
0,0,6,7
64,128,50,50
0,0,33,33
0,0,23,20
0,0,7,3
0,0,34,30
0,0,13,14
0,0,15,14
0,0,27,28
0,0,3,5
0,0,7,9
0,0,49,50
0,0,12,12
0,0,9,12
0,0,3,4
0,0,27,26
218,125,50,50
0,0,39,37
0,0,6,3
