"stock1","stock2","dead1","dead2"
0,0,12,13
92,0,50,5
0,0,11,6
0,0,4,31
243,0,50,28
0,0,16,20
0,0,2,9
0,0,12,3
0,103,4,50
273,70,50,50
0,0,6,8
251,0,50,13
0,0,5,3
0,0,20,6
0,104,17,50
0,0,3,7
0,0,2,10
0,0,9,15
0,0,7,7
0,0,2,6
0,0,4,11
184,0,50,17
0,0,41,6
0,0,8,16
0,0,15,3
0,0,49,49
0,0,29,6
0,0,33,4
93,0,50,6
280,83,50,50
0,112,5,50
0,0,34,3
161,164,50,50
0,96,5,50
122,0,50,7
0,133,7,50
0,0,35,36
0,262,10,50
110,155,50,50
0,0,45,50
0,0,23,3
0,0,2,4
157,0,50,16
0,0,2,3
0,0,39,8
102,0,50,7
149,0,50,7
0,0,21,10
0,0,31,3
0,181,6,50
0,0,9,22
0,0,3,21
0,0,22,5
0,0,8,9
115,0,50,2
0,0,2,5
89,0,50,3
77,0,50,5
0,0,22,8
0,0,5,9
0,75,10,50
0,89,5,50
160,0,50,26
0,0,6,10
0,0,4,7
0,0,12,5
0,0,2,2
137,312,50,50
0,0,5,2
0,0,13,11
0,0,23,18
0,71,4,50
0,0,26,40
0,0,2,18
0,123,8,50
0,91,12,50
288,0,50,5
0,0,2,33
0,0,4,4
0,170,3,50
319,0,50,26
117,0,50,4
0,70,2,50
0,123,6,50
0,0,2,3
0,0,36,5
136,0,50,10
0,0,11,5
163,138,50,50
0,0,8,2
0,127,5,50
0,0,4,2
0,0,4,2
0,47,26,50
0,0,2,5
0,0,16,6
0,0,7,47
0,0,10,16
126,0,50,2
0,0,5,2
111,0,50,3
0,276,30,50
0,68,33,50
0,0,16,23
0,0,3,10
0,0,7,44
0,120,9,50
0,234,9,50
0,0,5,2
0,123,21,50
0,0,14,2
0,0,43,8
168,231,50,50
0,0,12,5
166,75,50,50
0,0,25,4
0,107,7,50
0,0,2,2
0,0,13,5
0,0,37,4
0,0,6,6
0,0,4,4
127,91,50,50
0,0,4,4
0,0,18,7
0,0,36,14
153,0,50,16
0,0,10,9
0,0,20,8
0,66,10,50
0,0,3,11
165,0,50,4
0,0,24,2
144,0,50,3
0,0,2,8
99,0,50,4
0,0,23,18
0,189,2,50
134,0,50,3
0,0,2,9
116,256,50,50
191,0,50,16
0,0,15,36
0,84,2,50
75,107,50,50
0,0,15,4
0,0,13,16
0,0,20,2
0,0,10,2
0,0,8,3
196,0,50,7
0,0,3,6
425,0,50,7
0,0,23,25
0,0,9,4
221,0,50,3
0,75,2,50
0,0,6,13
86,0,50,26
0,0,39,5
0,0,10,19
0,174,8,50
0,0,26,4
0,0,15,4
0,0,6,22
0,0,2,8
0,0,15,11
0,127,4,50
0,0,13,15
0,0,10,2
0,0,6,3
0,0,7,7
0,0,7,13
0,0,6,2
0,167,10,50
0,0,3,6
0,128,50,50
0,0,21,10
0,0,8,4
0,210,7,50
0,0,6,2
0,0,3,4
0,0,7,7
0,76,23,50
0,0,7,29
0,0,29,8
0,0,29,5
106,0,50,24
0,0,2,4
0,0,5,29
0,0,25,4
0,0,12,15
0,0,8,5
0,251,2,50
169,0,50,15
0,0,4,6
0,75,3,50
0,0,13,7
0,0,7,28
0,0,16,12
0,0,16,2
300,0,50,20
0,0,4,9
0,0,27,27
151,0,50,3
0,0,6,4
0,0,19,11
0,0,7,13
0,292,5,50
0,0,2,18
0,0,4,21
0,0,4,9
0,0,8,31
85,0,50,20
0,0,47,6
0,0,28,10
238,109,50,50
0,0,15,4
0,106,4,50
0,0,14,2
0,87,42,50
0,0,12,5
206,193,50,50
0,0,25,12
0,0,4,31
0,292,5,50
106,0,50,7
210,0,50,5
0,0,43,2
0,236,28,50
113,0,50,8
0,0,13,23
0,0,7,2
0,0,6,4
0,0,21,5
0,97,37,50
0,0,15,3
0,151,10,50
186,0,50,2
0,0,19,4
0,0,3,6
0,127,10,50
0,0,26,5
0,0,4,43
0,200,24,50
200,0,50,21
0,0,15,9
0,0,5,4
0,89,3,50
0,0,14,4
200,124,50,50
0,0,4,20
0,0,10,6
0,0,13,6
0,0,2,3
0,0,4,10
182,0,50,2
0,123,6,50
0,0,3,13
154,0,50,6
0,0,4,21
306,0,50,4
113,0,50,2
0,0,37,2
0,0,5,2
0,0,2,35
0,0,23,7
0,0,17,6
0,0,8,46
0,111,3,50
0,0,32,4
0,0,2,20
0,0,28,28
176,117,50,50
0,0,2,9
0,0,3,50
0,54,4,50
0,0,11,14
0,0,2,18
0,225,4,50
81,87,50,50
0,0,34,17
160,234,50,50
0,0,3,11
0,0,41,50
137,0,50,8
85,0,50,4
100,0,50,3
0,0,4,18
0,0,2,5
0,0,3,3
0,0,5,38
79,0,50,11
0,0,23,5
0,96,4,50
0,0,23,25
0,0,3,26
0,0,24,9
86,0,50,3
0,0,10,22
0,0,13,5
0,0,4,4
0,214,2,50
0,152,4,50
0,0,25,5
84,0,50,4
351,0,50,7
0,0,8,14
0,0,33,3
0,0,4,7
150,0,50,14
0,0,4,30
0,176,19,50
0,0,12,3
0,0,5,2
0,0,6,31
172,0,50,5
0,0,21,17
0,0,8,21
0,75,14,50
133,106,50,50
0,188,2,50
0,79,27,50
0,0,11,8
0,0,2,12
0,0,13,3
0,0,10,22
0,131,4,50
0,0,20,6
0,0,30,5
0,152,10,50
0,0,9,6
91,108,50,50
0,0,5,10
0,0,12,3
0,99,26,50
0,110,5,50
0,105,4,50
0,0,2,3
124,0,50,13
0,0,7,20
0,0,14,8
0,87,5,50
0,166,23,50
0,0,36,3
73,0,50,2
100,0,50,2
0,0,29,49
404,0,50,8
0,0,15,4
0,0,25,3
0,0,14,37
0,253,22,50
203,0,50,13
0,0,16,40
0,0,19,9
0,0,21,20
0,0,5,7
0,326,3,50
0,88,3,50
0,0,13,13
0,0,7,24
200,0,50,3
0,0,4,19
0,0,8,2
0,0,12,18
0,174,14,50
0,0,3,7
0,0,12,44
0,0,4,4
0,160,18,50
0,0,37,11
256,117,50,50
172,126,50,50
0,0,5,35
0,0,8,10
0,99,14,50
0,0,29,2
0,0,5,6
0,153,3,50
0,0,2,38
246,0,50,10
0,113,4,50
0,0,7,6
0,0,2,23
93,358,50,50
0,0,6,19
0,0,4,6
0,0,25,33
0,215,2,50
0,0,11,13
108,0,50,2
247,0,50,36
0,82,30,50
105,0,50,2
124,0,50,2
0,122,10,50
0,0,2,5
123,0,50,12
0,0,2,4
0,0,15,21
0,131,8,50
0,0,31,3
0,0,4,26
0,0,18,30
0,0,35,6
0,178,22,50
246,0,50,19
0,0,18,9
0,0,38,26
0,67,25,50
112,0,50,4
0,0,6,4
0,112,4,50
0,0,12,32
0,95,6,50
0,0,11,11
162,0,50,7
0,0,7,7
0,0,2,22
0,0,2,9
133,0,50,9
0,0,15,6
0,0,2,2
0,0,2,2
144,0,50,3
0,0,43,3
0,0,2,2
156,0,50,7
0,0,15,17
89,0,50,10
0,0,6,11
0,88,2,50
131,0,50,3
0,0,9,10
0,0,6,2
223,0,50,10
0,0,39,19
235,283,50,50
194,0,50,43
118,0,50,10
0,297,3,50
0,0,2,47
0,0,11,3
0,0,3,21
0,0,4,4
0,0,2,3
0,0,3,42
429,0,50,5
0,0,15,16
174,0,50,8
0,140,2,50
0,0,14,35
0,80,21,50
0,139,19,50
133,151,50,50
243,0,50,37
0,266,19,50
0,0,10,7
0,0,2,22
202,0,50,8
0,134,2,50
150,0,50,33
70,0,50,18
0,0,3,13
0,0,45,6
0,104,40,50
0,0,20,4
0,0,4,24
0,0,5,13
0,0,17,5
107,0,50,48
0,243,4,50
0,0,6,38
0,0,47,11
0,0,27,3
88,0,50,5
90,0,50,4
0,190,4,50
0,158,7,50
100,0,50,9
0,0,16,2
0,0,5,43
0,0,2,40
0,0,8,46
0,0,2,48
0,0,8,14
0,0,5,11
0,0,36,24
0,0,7,10
0,0,6,16
0,0,3,21
0,463,8,50
0,0,11,42
331,95,50,50
0,0,3,5
0,0,15,12
57,0,50,9
138,0,50,5
0,0,17,2
0,0,7,44
0,0,2,40
0,0,40,2
0,0,9,12
0,190,39,50
0,0,5,5
0,107,23,50
0,92,5,50
0,166,9,50
65,0,50,2
0,92,12,50
0,127,3,50
122,0,50,2
0,141,9,50
118,0,50,12
0,0,38,4
0,187,2,50
107,0,50,11
0,0,20,2
0,0,4,9
0,0,9,4
0,0,20,5
0,0,3,9
0,0,13,16
0,120,20,50
0,0,6,26
210,0,50,7
0,0,4,6
0,0,2,3
0,0,14,26
115,0,50,18
0,0,8,7
228,0,50,15
0,0,30,4
0,124,11,50
0,220,36,50
0,0,7,34
0,93,16,50
0,0,6,8
151,0,50,6
0,0,2,4
70,0,50,3
0,0,20,41
0,0,6,19
184,0,50,26
0,0,32,3
152,284,50,50
0,0,23,8
385,0,50,10
52,0,50,3
133,0,50,9
197,0,50,6
0,152,5,50
0,0,2,21
0,0,4,4
194,122,50,50
0,0,3,5
143,0,50,43
227,0,50,2
0,0,35,2
116,112,50,50
0,0,2,41
0,0,3,8
0,0,15,22
136,150,50,50
0,0,4,2
0,0,3,4
0,0,10,6
208,0,50,2
0,0,14,5
133,0,50,13
255,0,50,27
0,0,41,4
0,0,3,11
0,0,7,2
0,0,5,3
0,0,8,5
0,0,10,2
0,0,7,12
0,0,6,9
0,0,22,8
0,0,10,3
102,0,50,27
0,0,12,5
144,161,50,50
0,0,9,6
0,244,18,50
0,0,14,19
482,0,50,12
0,0,22,9
0,0,2,2
0,139,12,50
87,0,50,8
0,0,39,2
0,0,11,22
0,0,2,30
0,0,3,6
0,0,16,29
91,99,50,50
142,0,50,11
0,0,6,5
356,0,50,16
203,0,50,2
111,134,50,50
0,100,13,50
144,0,50,32
0,148,18,50
0,125,13,50
0,0,28,31
0,0,3,2
0,0,34,45
0,0,5,2
159,0,50,3
0,0,3,16
0,0,2,2
169,0,50,5
95,0,50,2
0,0,10,6
0,0,21,2
0,0,19,3
0,0,5,2
0,0,5,3
0,0,2,8
0,0,16,33
140,0,50,18
0,124,24,50
0,0,2,4
0,205,7,50
0,121,21,50
0,0,7,2
0,0,41,18
0,0,3,18
0,0,26,16
0,0,10,6
0,232,18,50
0,0,8,20
0,0,12,21
218,138,50,50
241,0,50,20
0,0,45,7
0,162,8,50
0,0,3,15
0,0,8,8
206,0,50,40
0,134,17,50
0,0,4,4
0,0,5,4
179,0,50,11
0,0,6,22
0,0,2,21
0,0,10,5
0,0,26,27
92,0,50,4
0,0,2,2
0,0,20,27
0,0,6,13
232,0,50,2
0,0,3,12
297,0,50,11
0,54,7,50
0,0,8,2
0,351,28,50
210,199,50,50
0,95,2,50
0,0,2,3
98,0,50,8
0,0,11,4
65,0,50,4
0,0,13,10
0,109,48,50
0,0,2,4
0,0,9,2
0,0,2,2
167,0,50,2
0,0,2,9
135,0,50,22
0,0,7,2
0,0,2,44
0,101,2,50
0,0,23,2
172,0,50,9
0,0,7,8
0,257,7,50
0,0,7,7
0,115,8,50
0,109,42,50
0,0,7,39
0,306,14,50
104,75,50,50
0,0,6,30
0,0,11,5
0,0,2,18
0,0,2,5
0,0,15,2
0,80,50,50
0,115,3,50
0,0,35,20
0,122,29,50
189,77,50,50
0,0,14,11
184,0,50,23
0,0,5,10
123,0,50,3
0,0,3,2
0,90,40,50
0,0,2,10
213,0,50,5
0,0,10,31
0,152,7,50
0,0,13,4
113,142,50,50
0,0,4,32
0,0,5,2
0,0,2,22
0,125,5,50
125,238,50,50
0,0,24,3
87,78,50,50
128,0,50,8
0,0,6,4
0,0,4,18
0,216,4,50
0,0,12,3
0,0,2,19
0,0,8,6
0,0,3,7
123,0,50,7
0,92,5,50
0,0,2,7
0,89,3,50
0,0,4,8
0,0,34,43
0,0,17,2
130,0,50,6
0,0,4,3
285,0,50,12
0,144,4,50
0,0,17,4
284,0,50,38
81,0,50,18
0,0,5,2
0,0,3,10
111,0,50,8
136,0,50,36
0,0,3,4
0,140,11,50
0,0,3,8
0,0,26,2
0,0,2,2
0,0,2,3
162,0,50,11
0,0,5,38
0,0,6,2
249,0,50,29
0,0,3,2
0,0,3,6
0,0,2,2
0,182,19,50
125,0,50,3
0,308,26,50
0,0,4,13
104,0,50,10
68,0,50,2
0,0,4,8
257,213,50,50
0,237,8,50
126,0,50,36
0,96,7,50
0,0,41,38
0,0,6,3
0,0,3,6
0,0,2,2
0,0,2,47
0,0,4,2
90,0,50,2
0,0,10,2
0,0,21,5
0,0,13,18
71,0,50,41
0,0,4,6
0,247,11,50
0,0,46,17
0,0,4,19
0,0,24,21
0,0,5,11
0,0,7,18
0,0,9,5
0,0,3,6
0,0,3,20
224,286,50,50
0,0,3,8
0,369,7,50
0,0,11,16
0,0,16,12
0,220,26,50
0,0,9,18
0,0,11,5
0,0,18,3
0,143,14,50
0,0,25,8
102,0,50,20
54,0,50,3
0,89,4,50
236,0,50,11
334,0,50,30
0,0,2,2
0,0,7,30
0,0,5,24
79,0,50,30
0,0,16,4
0,0,9,5
100,0,50,9
91,0,50,3
0,0,4,43
0,0,6,5
147,0,50,10
0,0,2,26
116,0,50,10
0,0,7,7
0,0,9,15
0,134,23,50
0,0,12,5
0,0,9,14
0,233,9,50
0,141,7,50
0,0,4,3
178,0,50,10
0,0,4,6
0,253,3,50
0,67,3,50
139,0,50,26
78,0,50,22
0,0,11,3
0,0,10,3
185,0,50,28
0,0,42,30
0,108,2,50
0,144,13,50
195,139,50,50
0,0,4,6
0,0,2,2
172,103,50,50
100,0,50,2
96,0,50,34
0,0,3,3
0,0,10,5
0,0,3,4
0,115,14,50
0,0,4,9
0,86,4,50
0,0,8,4
0,130,7,50
0,120,2,50
0,0,5,4
0,0,32,4
0,0,6,17
0,155,2,50
0,0,6,11
0,0,34,2
0,71,5,50
148,0,50,18
108,0,50,13
85,0,50,49
0,112,7,50
0,0,3,3
197,0,50,4
0,0,23,2
0,0,2,2
0,0,12,15
230,0,50,2
0,0,5,8
0,0,7,7
0,0,5,15
125,0,50,4
0,0,6,2
0,0,3,14
0,0,4,11
0,0,6,16
0,0,2,32
0,0,3,2
0,0,13,13
163,0,50,36
0,0,9,46
0,0,5,13
0,0,6,6
91,0,50,2
0,0,4,26
0,0,4,41
0,0,29,17
0,0,3,47
0,0,3,17
0,0,13,46
0,0,8,18
0,0,9,36
109,0,50,3
0,0,35,13
0,0,6,12
0,0,14,14
0,0,12,26
0,0,33,27
